epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,15663.7,0.56192,0.54124,0.8645,0.97205,0.97629,0.97662,0.8029,0.72882,0.62307,0.94824,0.000272224,0.000272224,0.000272224
70,15898.9,0.55222,0.52974,0.86585,0.97105,0.97637,0.9775,0.80852,0.70415,0.60735,0.93454,0.000263978,0.000263978,0.000263978
71,16019.7,0.5116,0.49798,0.84831,0.96861,0.97668,0.97757,0.80281,0.72293,0.62625,0.93477,0.000255731,0.000255731,0.000255731
72,16212.5,0.52739,0.50438,0.84512,0.96496,0.97487,0.97743,0.81351,0.693,0.61121,0.92086,0.000247484,0.000247484,0.000247484
73,16552.7,0.56015,0.50892,0.8596,0.97335,0.97483,0.97738,0.82281,0.67799,0.60453,0.91732,0.000239238,0.000239238,0.000239238
74,16860.8,0.54865,0.50113,0.84703,0.96973,0.97493,0.98208,0.82349,0.6777,0.59384,0.91717,0.000230991,0.000230991,0.000230991
75,17181.4,0.53628,0.50061,0.85515,0.97079,0.96606,0.98456,0.80951,0.69095,0.58309,0.9192,0.000222744,0.000222744,0.000222744
76,17437.2,0.54356,0.49485,0.85346,0.97476,0.96209,0.97338,0.79392,0.69278,0.58367,0.91936,0.000214497,0.000214497,0.000214497
77,17558.6,0.5209,0.47803,0.84475,0.96284,0.97313,0.9735,0.79974,0.6964,0.59561,0.9255,0.000206251,0.000206251,0.000206251
78,17681,0.50755,0.47097,0.84278,0.96454,0.96668,0.97786,0.80623,0.70389,0.5975,0.92638,0.000198004,0.000198004,0.000198004
79,17799.9,0.5308,0.47725,0.85385,0.97193,0.97272,0.97677,0.80887,0.68955,0.58396,0.93153,0.000189757,0.000189757,0.000189757
80,17920,0.49979,0.46502,0.83943,0.97022,0.97233,0.97907,0.79945,0.71692,0.58146,0.93398,0.000181511,0.000181511,0.000181511
81,18037.9,0.52115,0.46862,0.84192,0.96499,0.97293,0.9783,0.81219,0.69487,0.57432,0.92627,0.000173264,0.000173264,0.000173264
82,18155.7,0.48869,0.46563,0.84252,0.96591,0.96077,0.98052,0.81199,0.69691,0.59134,0.93147,0.000165017,0.000165017,0.000165017
83,18272.4,0.49331,0.47221,0.84425,0.96781,0.95758,0.9822,0.79371,0.71113,0.60106,0.93533,0.000156771,0.000156771,0.000156771
84,18389.8,0.52224,0.48079,0.84291,0.96778,0.96213,0.97646,0.80607,0.68035,0.58685,0.93023,0.000148524,0.000148524,0.000148524
85,18508,0.48409,0.44924,0.83268,0.97196,0.96196,0.97453,0.79943,0.69607,0.59483,0.932,0.000140277,0.000140277,0.000140277
86,18634.9,0.5098,0.46272,0.85313,0.97214,0.96007,0.97585,0.80823,0.68754,0.57936,0.92545,0.000132031,0.000132031,0.000132031
87,18765.7,0.4923,0.44565,0.8426,0.96777,0.96094,0.97799,0.8214,0.68148,0.56803,0.9262,0.000123784,0.000123784,0.000123784
88,18905.3,0.47474,0.43312,0.84417,0.96486,0.96888,0.97935,0.80735,0.68895,0.56993,0.92684,0.000115537,0.000115537,0.000115537
89,19050.9,0.48861,0.44177,0.84032,0.9647,0.96888,0.9799,0.81808,0.66731,0.5572,0.92062,0.00010729,0.00010729,0.00010729
90,19200.8,0.47022,0.44141,0.83914,0.96405,0.96888,0.97878,0.82166,0.65323,0.55057,0.91954,9.90437e-05,9.90437e-05,9.90437e-05
91,19338.6,0.47584,0.52358,0.82317,0.96302,0.96888,0.97998,0.80583,0.68265,0.57409,0.92258,9.0797e-05,9.0797e-05,9.0797e-05
92,19483.5,0.46598,0.51036,0.83801,0.96251,0.96403,0.97895,0.79136,0.70884,0.58438,0.92625,8.25503e-05,8.25503e-05,8.25503e-05
93,19621.3,0.44678,0.50087,0.82531,0.95783,0.96541,0.97736,0.80876,0.68055,0.57527,0.92154,7.43036e-05,7.43036e-05,7.43036e-05
94,19754.5,0.43541,0.49573,0.82402,0.96538,0.95771,0.97568,0.8109,0.69062,0.56526,0.92141,6.60569e-05,6.60569e-05,6.60569e-05
95,19897.2,0.43697,0.48531,0.81266,0.96562,0.968,0.9782,0.81445,0.69501,0.5627,0.91887,5.78102e-05,5.78102e-05,5.78102e-05
96,20034,0.42481,0.47289,0.81088,0.97073,0.9625,0.97758,0.81566,0.68034,0.54956,0.9176,4.95635e-05,4.95635e-05,4.95635e-05
97,20174.6,0.41538,0.47756,0.81329,0.97216,0.96064,0.97577,0.81953,0.67267,0.53599,0.91845,4.13168e-05,4.13168e-05,4.13168e-05
98,20318,0.40027,0.46683,0.81794,0.97334,0.9602,0.97657,0.81891,0.67542,0.5367,0.91725,3.30701e-05,3.30701e-05,3.30701e-05
99,20465.8,0.40651,0.45718,0.82313,0.97374,0.96102,0.97748,0.81281,0.67486,0.54158,0.91625,2.48234e-05,2.48234e-05,2.48234e-05
100,20604.3,0.40783,0.45672,0.81904,0.97419,0.96127,0.97663,0.81301,0.67197,0.53998,0.91616,1.65767e-05,1.65767e-05,1.65767e-05
