epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
73,7444.23,0.52245,0.38212,1.01921,0.00915,0.95928,0.96851,0.9575,0.76343,0.50088,0.35089,1.07581,0.00957,0.000151067,0.000151067,0.000151067
74,7553.47,0.54066,0.39436,1.0151,0.01159,0.96099,0.97225,0.95951,0.76302,0.49799,0.34944,1.07738,0.01002,0.00014586,0.00014586,0.00014586
75,7663.54,0.52204,0.38305,1.01393,0.00925,0.96826,0.97101,0.9609,0.76839,0.50163,0.33932,1.08234,0.0095,0.000140652,0.000140652,0.000140652
76,7774.78,0.53972,0.3869,1.00894,0.00871,0.96322,0.97035,0.95919,0.76951,0.49474,0.338,1.0736,0.00907,0.000135445,0.000135445,0.000135445
77,7886.68,0.5269,0.37875,1.00916,0.0088,0.96293,0.9695,0.95889,0.77084,0.4918,0.33624,1.07699,0.00952,0.000130238,0.000130238,0.000130238
78,7996.6,0.52665,0.3829,1.01023,0.00841,0.96148,0.96812,0.95869,0.77359,0.5057,0.33946,1.0706,0.00975,0.00012503,0.00012503,0.00012503
79,8108.56,0.50421,0.36765,1.00431,0.00919,0.96072,0.96744,0.9585,0.77233,0.49457,0.33109,1.06957,0.00955,0.000119823,0.000119823,0.000119823
80,8219.62,0.50428,0.36033,0.99401,0.00941,0.96571,0.96737,0.96098,0.77543,0.49306,0.34049,1.06579,0.00929,0.000114615,0.000114615,0.000114615
81,8339.23,0.51295,0.36961,0.99675,0.00812,0.95983,0.96252,0.95664,0.76488,0.49327,0.33292,1.06356,0.00934,0.000109408,0.000109408,0.000109408
82,8453.23,0.50695,0.36953,1.01367,0.00807,0.96281,0.96118,0.95743,0.76588,0.49988,0.33313,1.06734,0.00927,0.000104201,0.000104201,0.000104201
83,8566.17,0.51752,0.37554,1.00218,0.00955,0.96416,0.95949,0.95976,0.77073,0.49093,0.33571,1.06656,0.0094,9.89932e-05,9.89932e-05,9.89932e-05
84,8676.76,0.50553,0.3639,0.99206,0.00778,0.96439,0.96381,0.95913,0.76749,0.49007,0.33088,1.06695,0.00929,9.37858e-05,9.37858e-05,9.37858e-05
85,8788.66,0.49657,0.35375,0.99887,0.0086,0.95837,0.95691,0.95883,0.76086,0.49077,0.34526,1.0648,0.00935,8.85784e-05,8.85784e-05,8.85784e-05
86,8898.53,0.51089,0.36845,0.9948,0.01047,0.95683,0.96698,0.95971,0.76937,0.49815,0.33742,1.06198,0.00943,8.3371e-05,8.3371e-05,8.3371e-05
87,9013.07,0.49856,0.36191,0.99086,0.00928,0.95766,0.96517,0.95882,0.77263,0.49296,0.34206,1.08031,0.00918,7.81636e-05,7.81636e-05,7.81636e-05
88,9122.31,0.49554,0.36286,0.99571,0.00903,0.95785,0.96694,0.96018,0.7762,0.49136,0.34131,1.06103,0.00915,7.29562e-05,7.29562e-05,7.29562e-05
89,9230.61,0.51351,0.3645,0.99386,0.01011,0.95965,0.96775,0.96115,0.77388,0.49334,0.33089,1.05993,0.00912,6.77488e-05,6.77488e-05,6.77488e-05
90,9341.57,0.51486,0.36552,0.99687,0.00828,0.96138,0.96948,0.9613,0.76941,0.48972,0.32392,1.07529,0.0095,6.25414e-05,6.25414e-05,6.25414e-05
91,9448.33,0.512,0.35432,1.01986,0.0079,0.96852,0.97119,0.96567,0.76127,0.49544,0.33374,1.05802,0.00959,5.7334e-05,5.7334e-05,5.7334e-05
92,9556.38,0.49041,0.33862,1.00528,0.00861,0.95703,0.96609,0.95766,0.76719,0.49297,0.33036,1.06776,0.00987,5.21266e-05,5.21266e-05,5.21266e-05
93,9665.14,0.48469,0.33395,1.00521,0.00817,0.95581,0.97159,0.96054,0.76307,0.48926,0.33468,1.05986,0.01018,4.69192e-05,4.69192e-05,4.69192e-05
94,9772.19,0.48014,0.3252,0.99749,0.00779,0.96013,0.96556,0.96079,0.76499,0.49133,0.3369,1.06032,0.0099,4.17118e-05,4.17118e-05,4.17118e-05
95,9881.27,0.48032,0.32664,0.99701,0.00737,0.96091,0.96278,0.95729,0.76514,0.48633,0.33097,1.06223,0.00992,3.65044e-05,3.65044e-05,3.65044e-05
96,9989.5,0.47359,0.32567,0.99638,0.00787,0.96698,0.96744,0.95965,0.77013,0.49325,0.33672,1.05823,0.00981,3.1297e-05,3.1297e-05,3.1297e-05
97,10098.6,0.47999,0.32662,0.99092,0.00799,0.96451,0.96463,0.96037,0.77,0.49185,0.33375,1.06061,0.00979,2.60896e-05,2.60896e-05,2.60896e-05
98,10207.4,0.47566,0.3271,0.99305,0.008,0.96502,0.96352,0.96061,0.76959,0.48662,0.33474,1.06181,0.00959,2.08822e-05,2.08822e-05,2.08822e-05
99,10314.2,0.47256,0.32391,1.00306,0.00711,0.96531,0.96354,0.96057,0.7714,0.48654,0.33516,1.06214,0.00963,1.56748e-05,1.56748e-05,1.56748e-05
100,10423.3,0.47592,0.3231,0.99581,0.00747,0.96547,0.96356,0.96063,0.77159,0.48377,0.33359,1.06069,0.00961,1.04674e-05,1.04674e-05,1.04674e-05
