epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
62,16527.3,0.50741,0.38646,1.02095,0.00295,0.8276,0.83103,0.77444,0.61036,0.59026,0.37604,1.01174,0.00186,0.0003961,0.0003961,0.0003961
63,16808.3,0.51284,0.38708,1.01783,0.00284,0.82838,0.83259,0.7772,0.60956,0.58948,0.37059,1.01572,0.00178,0.0003862,0.0003862,0.0003862
64,16974.8,0.49847,0.38262,1.0191,0.00318,0.82398,0.83555,0.77543,0.60799,0.58683,0.37236,1.01425,0.00183,0.0003763,0.0003763,0.0003763
65,17142.7,0.51434,0.39099,1.02519,0.00283,0.83446,0.8341,0.78138,0.61725,0.58245,0.37201,1.01663,0.00185,0.0003664,0.0003664,0.0003664
66,17310.7,0.49904,0.3806,1.01836,0.00291,0.82728,0.8313,0.7759,0.60389,0.59435,0.36641,1.02631,0.00184,0.0003565,0.0003565,0.0003565
67,17479.7,0.51051,0.39324,1.02399,0.0027,0.82318,0.8342,0.77719,0.61822,0.57966,0.36211,1.01784,0.00166,0.0003466,0.0003466,0.0003466
68,17649.1,0.51165,0.39493,1.01722,0.00291,0.82284,0.84075,0.77822,0.61105,0.58505,0.37285,1.01859,0.00178,0.0003367,0.0003367,0.0003367
69,17817.8,0.51335,0.38937,1.02426,0.00284,0.83155,0.82828,0.777,0.60931,0.5868,0.3682,1.0158,0.0017,0.0003268,0.0003268,0.0003268
70,17986.5,0.50843,0.38285,1.01783,0.00288,0.83085,0.82884,0.77914,0.61412,0.57239,0.35776,1.01527,0.00177,0.0003169,0.0003169,0.0003169
71,18156.1,0.50103,0.38004,1.01493,0.00292,0.82854,0.82682,0.77857,0.61712,0.57062,0.36206,1.00526,0.00175,0.000307,0.000307,0.000307
72,18324.9,0.49459,0.37031,1.01689,0.00277,0.8302,0.83182,0.77983,0.61421,0.5737,0.35053,0.9993,0.00173,0.0002971,0.0002971,0.0002971
73,18493.1,0.50681,0.38194,1.02463,0.00266,0.82896,0.83016,0.7769,0.61646,0.56977,0.35662,1.00152,0.0017,0.0002872,0.0002872,0.0002872
74,18661.2,0.4978,0.38006,1.00621,0.00279,0.82785,0.83465,0.77706,0.60551,0.5762,0.36479,1.00974,0.00181,0.0002773,0.0002773,0.0002773
