epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2321.41,1.26031,0.75802,0.82551,0.86238,0.9039,0.87488,0.59654,1.31111,0.75238,0.82589,0.000198004,0.000198004,0.000198004
79,2350.07,1.29102,0.7754,0.81942,0.84702,0.91385,0.85269,0.57345,1.33138,0.76455,0.82806,0.000189757,0.000189757,0.000189757
80,2378.49,1.25573,0.75979,0.82496,0.82211,0.91437,0.84263,0.57414,1.31787,0.77875,0.82642,0.000181511,0.000181511,0.000181511
81,2407.17,1.2842,0.77004,0.81039,0.88366,0.89644,0.87279,0.614,1.30511,0.76148,0.82408,0.000173264,0.000173264,0.000173264
82,2435.71,1.22909,0.75976,0.83294,0.86455,0.91866,0.87334,0.6134,1.31711,0.75566,0.82472,0.000165017,0.000165017,0.000165017
83,2464.11,1.23837,0.75069,0.81731,0.87054,0.91331,0.87836,0.60523,1.31254,0.75498,0.82162,0.000156771,0.000156771,0.000156771
84,2492.43,1.25023,0.76478,0.81766,0.839,0.92661,0.87903,0.59594,1.3391,0.7514,0.82267,0.000148524,0.000148524,0.000148524
85,2520.51,1.24654,0.73856,0.82116,0.8435,0.92707,0.8783,0.60444,1.33825,0.7612,0.82432,0.000140277,0.000140277,0.000140277
86,2548.9,1.24014,0.75146,0.83095,0.85379,0.9127,0.87663,0.60487,1.32759,0.76831,0.82518,0.000132031,0.000132031,0.000132031
87,2577.15,1.28404,0.76258,0.82042,0.86127,0.9218,0.87485,0.60758,1.3427,0.74892,0.82454,0.000123784,0.000123784,0.000123784
88,2605.81,1.22514,0.73917,0.82271,0.85971,0.91022,0.87688,0.61025,1.33982,0.74238,0.82639,0.000115537,0.000115537,0.000115537
89,2633.79,1.25685,0.75263,0.82466,0.83231,0.92216,0.87847,0.59974,1.35069,0.75878,0.82737,0.00010729,0.00010729,0.00010729
90,2661.51,1.24442,0.74764,0.82923,0.82114,0.92211,0.87687,0.5987,1.35356,0.75166,0.82769,9.90437e-05,9.90437e-05,9.90437e-05
91,2689.04,1.20956,0.7694,0.83621,0.85072,0.9138,0.87566,0.5999,1.33625,0.74504,0.82591,9.0797e-05,9.0797e-05,9.0797e-05
92,2716.26,1.19878,0.75747,0.82861,0.85598,0.91513,0.87253,0.60206,1.32118,0.7477,0.82552,8.25503e-05,8.25503e-05,8.25503e-05
93,2743.53,1.1991,0.74933,0.82117,0.85031,0.92055,0.87024,0.60887,1.32507,0.74737,0.82371,7.43036e-05,7.43036e-05,7.43036e-05
94,2770.72,1.20786,0.74219,0.83089,0.86001,0.92185,0.87537,0.60445,1.32265,0.75513,0.82394,6.60569e-05,6.60569e-05,6.60569e-05
95,2797.6,1.24682,0.74905,0.81477,0.85643,0.92318,0.87711,0.5943,1.32794,0.74395,0.82418,5.78102e-05,5.78102e-05,5.78102e-05
96,2824.73,1.21739,0.74435,0.81685,0.84995,0.92629,0.87171,0.59826,1.30923,0.74262,0.82264,4.95635e-05,4.95635e-05,4.95635e-05
97,2851.57,1.17487,0.73132,0.82042,0.85456,0.92674,0.87265,0.5994,1.31063,0.74065,0.8225,4.13168e-05,4.13168e-05,4.13168e-05
98,2878.86,1.18071,0.71181,0.82453,0.86681,0.92415,0.87278,0.60036,1.30612,0.73708,0.82294,3.30701e-05,3.30701e-05,3.30701e-05
99,2905.84,1.17875,0.72577,0.82992,0.87602,0.92129,0.87309,0.60155,1.30696,0.73425,0.82253,2.48234e-05,2.48234e-05,2.48234e-05
100,2933.11,1.16426,0.78796,0.82177,0.87429,0.92168,0.87331,0.60082,1.30788,0.73479,0.82193,1.65767e-05,1.65767e-05,1.65767e-05
